"filename", "language", "HTML", "CSS", "JavaScript", "Markdown", "JSON", "Rust", "Database", "comment", "blank", "total"
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\database.db", "Database", 0, 0, 0, 0, 0, 0, 265, 0, 16, 281
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\error.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\grattis.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 9, 4, 24
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\index.html", "HTML", 28, 0, 0, 0, 0, 0, 0, 1, 9, 38
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\json\detailed_products.json", "JSON", 0, 0, 0, 0, 256, 0, 0, 0, 0, 256
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\json\detailed_products2.json", "JSON", 0, 0, 0, 0, 256, 0, 0, 0, 0, 256
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\json\order_position.json", "JSON", 0, 0, 0, 0, 172, 0, 0, 0, 0, 172
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\json\order_posting.json", "JSON", 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\json\order_posting2.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\json\order_posting_real.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\json\ordsys_response_amounts.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 0, 0, 24
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\json\ordsys_response_full.json", "JSON", 0, 0, 0, 0, 191, 0, 0, 0, 0, 191
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\json\test.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\modulo.html", "HTML", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
