"filename", "language", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\cart.html", "HTML", 0, 118, 0, 0, 18, 136
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\database_get.html", "HTML", 0, 11, 0, 0, 0, 11
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\fetch_handler.html", "HTML", 0, 63, 0, 1, 13, 77
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\fetch_post_test.html", "HTML", 0, 125, 0, 0, 23, 148
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\forms_test.html", "HTML", 0, 81, 0, 0, 20, 101
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\images_test.html", "HTML", 0, 24, 0, 0, 2, 26
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\login.html", "HTML", 0, 21, 0, 1, 5, 27
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\login\login.html", "HTML", 0, 163, 0, 0, 28, 191
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\login\welcome.html", "HTML", 0, 77, 0, 0, 8, 85
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order\cart.html", "HTML", 0, 106, 0, 1, 23, 130
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order\cart.js", "JavaScript", 0, 0, 144, 16, 32, 192
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order\ordersite.html", "HTML", 0, 100, 0, 0, 23, 123
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order\ordersite.js", "JavaScript", 0, 0, 75, 1, 24, 100
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order\share.js", "JavaScript", 0, 0, 22, 0, 13, 35
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order_post.html", "HTML", 0, 10, 0, 0, 1, 11
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\ordersite_edited.html", "HTML", 0, 71, 0, 0, 17, 88
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\ordersite_edited.js", "JavaScript", 0, 0, 41, 4, 18, 63
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\products.html", "HTML", 0, 94, 0, 0, 20, 114
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\script.js", "JavaScript", 0, 0, 34, 2, 7, 43
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\server.js", "JavaScript", 0, 0, 41, 3, 6, 50
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\styles.css", "CSS", 24, 0, 0, 7, 6, 37
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\test_jpeg.html", "HTML", 0, 11, 0, 0, 1, 12
"Total", "-", 24, 1075, 357, 36, 308, 1800
